lemma,pos,cefr,gender,word,plural,pluralPattern,singularOnly,pluralOnly,governedCase,partizipII,auxiliary,praesens3sg,isSeparable,exampleDE,exampleEN,sourceLine,verification
ab,other,A1,,ab,,,0,0,,,,,0,Ab morgen muss ich arbeiten.,I have to work from tomorrow.,ab	Ab morgen muss ich arbeiten.	I have to work from tomorrow.,
das Eis,noun,A2,das,Eis,,,1,0,,,,,0,Möchtest du auch ein Eis?,"Would you like an ice cream, too?","das Eis (Sg.)	Möchtest du auch ein Eis?	Would you like an ice cream, too?",verified
die (E-)Mail,noun,A2,die,(E-)Mail,E-Mails,wiktionary,0,0,,,,,0,Ich schreibe Ihnen/dir eine E-Mail.,I’m writing you an email.,"die (E-)Mail, -s	Ich schreibe Ihnen/dir eine E-Mail.	I’m writing you an email.",verified
empfiehlt,other,A2,,empfiehlt,,,0,0,,,,,0,,,empfiehlt		,
hat empfohlen,other,A2,,hat empfohlen,,,0,0,,,,,0,,,hat empfohlen		,
einig-,other,A2,,einig-,,,0,0,,,,,0,In diesem Text sind einige Fehler.,There are some mistakes in this text.,einig-	In diesem Text sind einige Fehler.	There are some mistakes in this text.,
kauft ein,other,A2,,kauft ein,,,0,0,,,,,0,,,kauft ein		,
hat eingekauft,other,A2,,hat eingekauft,,,0,0,,,,,0,,,hat eingekauft		,
"enden, endet",other,A2,,"enden, endet",,,0,0,,,,,0,Die Straße endet hier.,The street ends here.,"enden, endet	Die Straße endet hier.	The street ends here.",
"enden, hat geendet",other,A2,,"enden, hat geendet",,,0,0,,,,,0,Der Kurs endet in einer Woche.,The course ends in a week.,"enden, hat geendet	Der Kurs endet in einer Woche.	The course ends in a week.",
endlich,other,A2,,endlich,,,0,0,,,,,0,Wann kommst du endlich? Der Film fängt gleich an.,When are you finally coming? The movie is about to start.,endlich	Wann kommst du endlich? Der Film fängt gleich an.	When are you finally coming? The movie is about to start.,
eng,other,A2,,eng,,,0,0,,,,,0,Diese Hose ist zu eng. Gibt es sie auch eine Nummer größer?,This pair of pants is too tight. Is there a larger size?,eng	Diese Hose ist zu eng. Gibt es sie auch eine Nummer größer?	This pair of pants is too tight. Is there a larger size?,
entschuldigen (sich),other,A2,,entschuldigen (sich),,,0,0,,,,,0,Entschuldigen Sie bitte!,"Excuse me, please!","entschuldigen (sich)	Entschuldigen Sie bitte!	Excuse me, please!",
entschuldigt,other,A2,,entschuldigt,,,0,0,,,,,0,,,entschuldigt		,
hat entschuldigt,other,A2,,hat entschuldigt,,,0,0,,,,,0,,,hat entschuldigt		,
das Erdgeschoss,noun,A2,das,Erdgeschoss,Erdgeschosse,-e,0,0,,,,,0,Ich wohne im Erdgeschoss.,I live on the ground floor.,"das Erdgeschoss, -e	Ich wohne im Erdgeschoss.	I live on the ground floor.",verified
die Erfahrung,noun,A2,die,Erfahrung,Erfahrungen,-en,0,0,,,,,0,Ich habe zehn Jahre Erfahrung in diesem Beruf.,I have ten years of experience in this profession.,"die Erfahrung, -en	Ich habe zehn Jahre Erfahrung in diesem Beruf.	I have ten years of experience in this profession.",verified
"erinnern (sich),",other,A2,,"erinnern (sich),",,,0,0,,,,,0,"Erinnerst du dich an José? - Nein, ich erinnere mich nicht an ihn, tut mir leid.","Do you remember José? - No, I don’t remember him, I’m sorry.","erinnern (sich),	Erinnerst du dich an José? - Nein, ich erinnere mich nicht an ihn, tut mir leid.	Do you remember José? - No, I don’t remember him, I’m sorry.",
erinnert,other,A2,,erinnert,,,0,0,,,,,0,,,erinnert		,
hat erinnert,other,A2,,hat erinnert,,,0,0,,,,,0,,,hat erinnert		,
erkältet sein,other,A2,,erkältet sein,,,0,0,,,,,0,Lisa ist erkältet. Sie kann heute nicht zur Schule gehen.,Lisa has a cold. She can’t go to school today.,erkältet sein	Lisa ist erkältet. Sie kann heute nicht zur Schule gehen.	Lisa has a cold. She can’t go to school today.,
ist erkältet,other,A2,,ist erkältet,,,0,0,,,,,0,,,ist erkältet		,
war erkältet,other,A2,,war erkältet,,,0,0,,,,,0,,,war erkältet		,
ist erkältet gewesen,other,A2,,ist erkältet gewesen,,,0,0,,,,,0,,,ist erkältet gewesen		,
"erklären, erklärt",other,A2,,"erklären, erklärt",,,0,0,,,,,0,Ich verstehe das nicht. Kannst du mir das erklären?,I don’t understand that. Can you explain it to me?,"erklären, erklärt	Ich verstehe das nicht. Kannst du mir das erklären?	I don’t understand that. Can you explain it to me?",
"erlauben, erlaubt",other,A2,,"erlauben, erlaubt",,,0,0,,,,,0,Meine Kinder dürfen diesen Film sehen. Ich habe es ihnen erlaubt.,My children are allowed to watch this movie. I have permitted it.,"erlauben, erlaubt	Meine Kinder dürfen diesen Film sehen. Ich habe es ihnen erlaubt.	My children are allowed to watch this movie. I have permitted it.",
hat erlaubt,other,A2,,hat erlaubt,,,0,0,,,,,0,,,hat erlaubt		,
"erlaubt sein, ist erlaubt",other,A2,,"erlaubt sein, ist erlaubt",,,0,0,,,,,0,Parken ist hier nicht erlaubt.,Parking is not allowed here.,"erlaubt sein, ist erlaubt	Parken ist hier nicht erlaubt.	Parking is not allowed here.",
war erlaubt,other,A2,,war erlaubt,,,0,0,,,,,0,,,war erlaubt		,
ist erlaubt gewesen,other,A2,,ist erlaubt gewesen,,,0,0,,,,,0,,,ist erlaubt gewesen		,
die Erlaubnis,noun,A2,die,Erlaubnis,,,1,0,,,,,0,Haben Sie eine Arbeitserlaubnis?,Do you have a work permit?,die Erlaubnis (Sg.)	Haben Sie eine Arbeitserlaubnis?	Do you have a work permit?,verified
die Ermäßigung,noun,A2,die,Ermäßigung,Ermäßigungen,-en,0,0,,,,,0,"Für Schüler, Studenten und Rentner gibt es eine Ermäßigung.","There is a discount for students, pupils, and retirees.","die Ermäßigung, -en	Für Schüler, Studenten und Rentner gibt es eine Ermäßigung.	There is a discount for students, pupils, and retirees.",verified
erreichen,verb,A2,,erreichen,,,0,0,,,,,0,"Wenn wir uns beeilen, erreichen wir noch den Zug um acht Uhr.","If we hurry, we’ll still catch the train at eight o’clock.","erreichen	Wenn wir uns beeilen, erreichen wir noch den Zug um acht Uhr.	If we hurry, we’ll still catch the train at eight o’clock.",
erreicht,other,A2,,erreicht,,,0,0,,,,,0,,,erreicht		,
hat erreicht,other,A2,,hat erreicht,,,0,0,,,,,0,,,hat erreicht		,
erst,other,A2,,erst,,,0,0,,,,,0,Wir können erst morgen kommen.,We can only come tomorrow.,erst	Wir können erst morgen kommen.	We can only come tomorrow.,
"erzählen, erzählt",other,A2,,"erzählen, erzählt",,,0,0,,,,,0,Wir müssen euch etwas erzählen!,We have to tell you something!,"erzählen, erzählt	Wir müssen euch etwas erzählen!	We have to tell you something!",
"erzählen, hat erzählt",other,A2,,"erzählen, hat erzählt",,,0,0,,,,,0,Erzählst du mir eine Geschichte?,Will you tell me a story?,"erzählen, hat erzählt(2)	Erzählst du mir eine Geschichte?	Will you tell me a story?",
"essen, isst",other,A2,,"essen, isst",,,0,0,,,,,0,Was gibt es zu essen?,What is there to eat?,"essen, isst	Was gibt es zu essen?	What is there to eat?",
"essen, hat gegessen",other,A2,,"essen, hat gegessen",,,0,0,,,,,0,Das Essen in der Cafeteria ist meistens ganz gut.,The food in the cafeteria is usually quite good.,"essen, hat gegessen(2)	Das Essen in der Cafeteria ist meistens ganz gut.	The food in the cafeteria is usually quite good.",
etwas,other,A2,,etwas,,,0,0,,,,,0,Ich muss dir etwas erzählen!,I need to tell you something!,etwas	Ich muss dir etwas erzählen!	I need to tell you something!,
das Fach,noun,A2,das,Fach,Fächer,¨-er,0,0,,,,,0,Welches Fach magst du in der Schule am liebsten?,Which subject do you like most in school?,"das Fach, ¨-er	Welches Fach magst du in der Schule am liebsten?	Which subject do you like most in school?",verified
(ab)fahren,other,A2,,(ab)fahren,,,0,0,,,,,0,Ich fahre mit dem Auto zur Arbeit.,I’m driving to work.,(ab)fahren	Ich fahre mit dem Auto zur Arbeit.	I’m driving to work.,
fährt (ab),other,A2,,fährt (ab),,,0,0,,,,,0,Achtung an Gleis 17! Der Zug München - Paris fährt jetzt ab.,Attention on platform 17! The Munich-Paris train is departing.,fährt (ab)	Achtung an Gleis 17! Der Zug München - Paris fährt jetzt ab.	Attention on platform 17! The Munich-Paris train is departing.,
ist (ab)gefahren,other,A2,,ist (ab)gefahren,,,0,0,,,,,0,Der Zug ist schon abgefahren.,The train has already left.,ist (ab)gefahren	Der Zug ist schon abgefahren.	The train has already left.,
der Fahrplan,noun,A2,der,Fahrplan,Fahrpläne,¨-e,0,0,,,,,0,Ist das der neue Fahrplan?,Is this the new timetable?,"der Fahrplan, ¨-e	Ist das der neue Fahrplan?	Is this the new timetable?",verified
das (Fahr)Rad,noun,A2,das,(Fahr)Rad,Räder,wiktionary,0,0,,,,,0,"Wenn es nicht regnet, fahre ich mit dem Fahrrad.","If it doesn’t rain, I’ll go by bike.","das (Fahr)Rad, ¨-er	Wenn es nicht regnet, fahre ich mit dem Fahrrad.	If it doesn’t rain, I’ll go by bike.",verified
"fallen, fällt",other,A2,,"fallen, fällt",,,0,0,,,,,0,"Pass auf, das Glas fällt gleich vom Tisch.","Watch out, the glass is about to fall off the table.","fallen, fällt	Pass auf, das Glas fällt gleich vom Tisch.	Watch out, the glass is about to fall off the table.",
ist gefallen,other,A2,,ist gefallen,,,0,0,,,,,0,Das Glas ist vom Tisch gefallen.,The glass fell off the table.,ist gefallen	Das Glas ist vom Tisch gefallen.	The glass fell off the table.,
der Fan,noun,A2,der,Fan,Fans,-s,0,0,,,,,0,Er ist ein großer Fußballfan.,He’s a big football fan.,"der Fan, -s	Er ist ein großer Fußballfan.	He’s a big football fan.",verified
fantastisch,other,A2,,fantastisch,,,0,0,,,,,0,Dein neues Kleid sieht fantastisch aus!,Your new dress looks fantastic!,fantastisch	Dein neues Kleid sieht fantastisch aus!	Your new dress looks fantastic!,
fast,other,A2,,fast,,,0,0,,,,,0,Der Film ist fast zu Ende.,The movie is almost over.,fast	Der Film ist fast zu Ende.	The movie is almost over.,
faul,other,A2,,faul,,,0,0,,,,,0,Heute sind wir faul: Wir machen keine Hausaufgaben und arbeiten nicht.,Today we’re lazy: We’re not doing homework or working.,faul	Heute sind wir faul: Wir machen keine Hausaufgaben und arbeiten nicht.	Today we’re lazy: We’re not doing homework or working.,
"fehlen, fehlt",other,A2,,"fehlen, fehlt",,,0,0,,,,,0,"Herr Müller ist nicht da, er fehlt schon seit drei Tagen.",Mr. Müller isn’t here; he’s been missing for three days.,"fehlen, fehlt	Herr Müller ist nicht da, er fehlt schon seit drei Tagen.	Mr. Müller isn’t here; he’s been missing for three days.",
die Feier,noun,A2,die,Feier,Feiern,-n,0,0,,,,,0,Wann hast du Feierabend?,When do you finish work?,"die Feier, -n	Wann hast du Feierabend?	When do you finish work?",verified
"feiern, feiert",other,A2,,"feiern, feiert",,,0,0,,,,,0,Wir feiern heute meinen Geburtstag.,We’re celebrating my birthday today.,"feiern, feiert	Wir feiern heute meinen Geburtstag.	We’re celebrating my birthday today.",
das Fenster,noun,A2,das,Fenster,Fenster,-,0,0,,,,,0,Kannst du bitte das Fenster öffnen?,Can you please open the window?,"das Fenster, -	Kannst du bitte das Fenster öffnen?	Can you please open the window?",verified
die Ferien,noun,A2,die,Ferien,Ferien,wiktionary,0,1,,,,,0,Bald haben wir Ferien.,We’ll have a holiday soon.,die Ferien (Pl.)	Bald haben wir Ferien.	We’ll have a holiday soon.,verified
"fernsehen, sieht fern",other,A2,,"fernsehen, sieht fern",,,0,0,,,,,0,Lass uns heute Abend mal fernsehen.,Let’s watch TV tonight.,"fernsehen, sieht fern	Lass uns heute Abend mal fernsehen.	Let’s watch TV tonight.",
der Fernseher,noun,A2,der,Fernseher,Fernseher,-,0,0,,,,,0,Der Fernseher ist kaputt.,The TV is broken.,"der Fernseher, -	Der Fernseher ist kaputt.	The TV is broken.",verified
"fertig sein, ist fertig",other,A2,,"fertig sein, ist fertig",,,0,0,,,,,0,Das Essen ist gleich fertig. Kommst du?,The food is almost ready. Are you coming?,"fertig sein, ist fertig	Das Essen ist gleich fertig. Kommst du?	The food is almost ready. Are you coming?",
fertig sein,other,A2,,fertig sein,,,0,0,,,,,0,Wir müssen gleich gehen. Bist du fertig?,We need to leave soon. Are you ready?,fertig sein(2)	Wir müssen gleich gehen. Bist du fertig?	We need to leave soon. Are you ready?,
das Fest,noun,A2,das,Fest,Feste,-e,0,0,,,,,0,Frohes Fest!,Happy holiday!,"das Fest, -e	Frohes Fest!	Happy holiday!",verified
das Festival,noun,A2,das,Festival,Festivals,-s,0,0,,,,,0,Am Wochenende ist in der Stadt ein Musik-Festival.,There’s a music festival in town this weekend.,"das Festival, -s	Am Wochenende ist in der Stadt ein Musik-Festival.	There’s a music festival in town this weekend.",verified
fett,other,A2,,fett,,,0,0,,,,,0,Die Wurst ist mir zu fett.,The sausage is too fatty for me.,fett	Die Wurst ist mir zu fett.	The sausage is too fatty for me.,
"finden, findet",other,A2,,"finden, findet",,,0,0,,,,,0,Wir müssen den Schlüssel finden.,We need to find the key.,"finden, findet	Wir müssen den Schlüssel finden.	We need to find the key.",
"fit sein, ist fit",other,A2,,"fit sein, ist fit",,,0,0,,,,,0,Tom will fit sein. Er geht jeden Tag ins Fitnessstudio.,Tom wants to be fit. He goes to the gym every day.,"fit sein, ist fit	Tom will fit sein. Er geht jeden Tag ins Fitnessstudio.	Tom wants to be fit. He goes to the gym every day.",
fit sein,other,A2,,fit sein,,,0,0,,,,,0,war fit,was fit.,fit sein(2)	war fit	was fit.,
fleißig,other,A2,,fleißig,,,0,0,,,,,0,Ibrahim ist sehr fleißig. Er macht immer seine Hausaufgaben.,Ibrahim is very hardworking. He always does his homework.,fleißig	Ibrahim ist sehr fleißig. Er macht immer seine Hausaufgaben.	Ibrahim is very hardworking. He always does his homework.,
"(ab)fliegen, fliegt (ab)",other,A2,,"(ab)fliegen, fliegt (ab)",,,0,0,,,,,0,Ich fliege in den Ferien nach Spanien.,I’m flying to Spain during the holidays.,"(ab)fliegen, fliegt (ab)	Ich fliege in den Ferien nach Spanien.	I’m flying to Spain during the holidays.",
(ab)fliegen,other,A2,,(ab)fliegen,,,0,0,,,,,0,ist (ab)geflogen,has flown (departed).,(ab)fliegen(2)	ist (ab)geflogen	has flown (departed).,
der Flohmarkt,noun,A2,der,Flohmarkt,Flohmärkte,¨-e,0,0,,,,,0,Ich gehe gern auf den Flohmarkt.,I like going to the flea market.,"der Flohmarkt, ¨-e	Ich gehe gern auf den Flohmarkt.	I like going to the flea market.",verified
der Flug,noun,A2,der,Flug,Flüge,¨-e,0,0,,,,,0,Ich möchte einen Flug nach Kanada buchen.,I’d like to book a flight to Canada.,"der Flug, ¨-e	Ich möchte einen Flug nach Kanada buchen.	I’d like to book a flight to Canada.",verified
der Fluss,noun,A2,der,Fluss,Flüsse,¨-e,0,0,,,,,0,Der Rhein ist ein großer Fluss.,The Rhine is a big river.,"der Fluss, ¨-e	Der Rhein ist ein großer Fluss.	The Rhine is a big river.",verified
der Fotoapparat,noun,A2,der,Fotoapparat,Fotoapparate,-e,0,0,,,,,0,Ich möchte mir einen Fotoapparat kaufen.,I’d like to buy a camera.,"der Fotoapparat, -e	Ich möchte mir einen Fotoapparat kaufen.	I’d like to buy a camera.",verified
"fotografieren, fotografiert",other,A2,,"fotografieren, fotografiert",,,0,0,,,,,0,Ich fotografiere gern.,I like to take photos.,"fotografieren, fotografiert	Ich fotografiere gern.	I like to take photos.",
fotografieren,verb,A2,,fotografieren,,,0,0,,fotografiert,haben,,0,,,fotografieren(2)	hat fotografiert	has photographed.,
"fragen, fragt",other,A2,,"fragen, fragt",,,0,0,,,,,0,"Er fragt, wann er kommen kann.",He’s asking when he can come.,"fragen, fragt	Er fragt, wann er kommen kann.	He’s asking when he can come.",
freiwillig,other,A2,,freiwillig,,,0,0,,,,,0,Manchmal bleibe ich freiwillig länger im Büro.,Sometimes I stay longer at the office voluntarily.,freiwillig	Manchmal bleibe ich freiwillig länger im Büro.	Sometimes I stay longer at the office voluntarily.,
"frühstücken, frühstückt",other,A2,,"frühstücken, frühstückt",,,0,0,,,,,0,Ich frühstücke immer um 9:00 Uhr.,I always have breakfast at 9:00.,"frühstücken, frühstückt	Ich frühstücke immer um 9:00 Uhr.	I always have breakfast at 9:00.",
"fühlen (sich), fühlt",other,A2,,"fühlen (sich), fühlt",,,0,0,,,,,0,Wie fühlen Sie sich?,How are you feeling?,"fühlen (sich), fühlt	Wie fühlen Sie sich?	How are you feeling?",
fühlen (sich),other,A2,,fühlen (sich),,,0,0,,,,,0,Ich fühle mich heute nicht gut.,I’m not feeling well today.,fühlen (sich)(2)	Ich fühle mich heute nicht gut.	I’m not feeling well today.,
der Führerschein,noun,A2,der,Führerschein,Führerscheine,-e,0,0,,,,,0,Hast du den Führerschein?,Do you have a driver’s license?,"der Führerschein, -e	Hast du den Führerschein?	Do you have a driver’s license?",verified
die Fundsachen,noun,A2,die,Fundsachen,,,0,1,,,,,0,Haben Sie meinen Schirm gefunden?,Have you found my umbrella?,die Fundsachen (Pl.)	Haben Sie meinen Schirm gefunden?	Have you found my umbrella?,unverified
furchtbar,other,A2,,furchtbar,,,0,0,,,,,0,Er hat furchtbare Schmerzen.,He’s in terrible pain.,furchtbar	Er hat furchtbare Schmerzen.	He’s in terrible pain.,
"freuen (sich), freut",other,A2,,"freuen (sich), freut",,,0,0,,,,,0,Zum Geburtstag habe ich ein interessantes Buch bekommen.,I’m very happy about the gift I received for my birthday.,"freuen (sich), freut	Zum Geburtstag habe ich ein interessantes Buch bekommen. 	I’m very happy about the gift I received for my birthday.",
freuen (sich),other,A2,,freuen (sich),,,0,0,,,,,0,Die Kinder freuen sich schon auf die Ferien.,The kids are already excited about the holidays.,freuen (sich)(2)	Die Kinder freuen sich schon auf die Ferien.	The kids are already excited about the holidays.,
die Freundin,noun,A2,die,Freundin,Freundinnen,-nen,0,0,,,,,0,Das ist meine Freundin Susanne.,That’s my friend Susanne.,"die Freundin, -nen	Das ist meine Freundin Susanne.	That’s my friend Susanne.",verified
freundlich,other,A2,,freundlich,,,0,0,,,,,0,Er ist immer sehr freundlich zu mir.,He’s always very friendly to me.,freundlich	Er ist immer sehr freundlich zu mir.	He’s always very friendly to me.,
frisch,other,A2,,frisch,,,0,0,,,,,0,Das Brot ist noch ganz frisch.,"I just bought the bread, and it’s still fresh.","frisch	Das Brot ist noch ganz frisch.	I just bought the bread, and it’s still fresh.",
froh,other,A2,,froh,,,0,0,,,,,0,"Ich bin froh, dass du kommen kannst.",I’m happy that you can come.,"froh	Ich bin froh, dass du kommen kannst.	I’m happy that you can come.",
früh,other,A2,,früh,,,0,0,,,,,0,Geht es auch später? Sechs Uhr ist mir zu früh.,Is it possible to meet later? 6 AM is too early for me.,früh	Geht es auch später? Sechs Uhr ist mir zu früh.	Is it possible to meet later? 6 AM is too early for me.,
die Gabel,noun,A2,die,Gabel,Gabeln,-n,0,0,,,,,0,Kann ich bitte eine Gabel haben?,May I please have a fork?,"die Gabel, -n	Kann ich bitte eine Gabel haben?	May I please have a fork?",verified
ganz,other,A2,,ganz,,,0,0,,,,,0,"Oh nein! Was ist passiert? Ist deine Brille jetzt kaputt? - Nein, zum Glück ist sie noch ganz!","Oh no! What happened? Is your glasses broken now? - No, fortunately, it’s still intact!","ganz	Oh nein! Was ist passiert? Ist deine Brille jetzt kaputt? - Nein, zum Glück ist sie noch ganz!	Oh no! What happened? Is your glasses broken now? - No, fortunately, it’s still intact!",
die Garage,noun,A2,die,Garage,Garagen,-n,0,0,,,,,0,Hier ist eine Garage für dein Auto.,Here is a garage for your car.,"die Garage, -n	Hier ist eine Garage für dein Auto.	Here is a garage for your car.",verified
"geben, gibt, hat gegeben",other,A2,,"geben, gibt, hat gegeben",,,0,0,,,,,0,Kannst du mir mal deinen Stift geben?,Could you give me your pen?,"geben, gibt, hat gegeben	Kannst du mir mal deinen Stift geben?	Could you give me your pen?",
"Geburts-(jahr, ort, tag), (-e, -e, -e)",other,A2,,"Geburts-(jahr, ort, tag), (-e, -e, -e)",,,0,0,,,,,0,"Das Geburtsjahr Ihres Sohnes, bitte?","The year of birth of your son, please?","Geburts-(jahr, ort, tag), (-e, -e, -e)	Das Geburtsjahr Ihres Sohnes, bitte?	The year of birth of your son, please?",
geehrt-,other,A2,,geehrt-,,,0,0,,,,,0,"Sehr geehrte Damen und Herren,","Dear Ladies and Gentlemen,","geehrt-	Sehr geehrte Damen und Herren,	Dear Ladies and Gentlemen,",
gefährlich,other,A2,,gefährlich,,,0,0,,,,,0,Du darfst nicht bei Rot über die Straße gehen. Das ist gefährlich.,You shouldn’t cross the street when the light is red. That’s dangerous.,gefährlich	Du darfst nicht bei Rot über die Straße gehen. Das ist gefährlich.	You shouldn’t cross the street when the light is red. That’s dangerous.,
"gefallen, gefällt, hat gefalle",other,A2,,"gefallen, gefällt, hat gefalle",,,0,0,,,,,0,Das Bild gefällt mir.,I like the picture.,"gefallen, gefällt, hat gefalle	Das Bild gefällt mir.	I like the picture.",
das Gegenteil,noun,A2,das,Gegenteil,Gegenteile,-e,0,0,,,,,0,Das Gegenteil von klein ist „groß“.,The opposite of “small” is “big.”,"das Gegenteil , -e	Das Gegenteil von klein ist „groß“.	The opposite of “small” is “big.”",verified
gegenüber,preposition,A2,,gegenüber,,,0,0,dativ,,,,0,Die Post ist gegenüber vom Bahnhof.,The post office is across from the train station.,gegenüber	Die Post ist gegenüber vom Bahnhof.	The post office is across from the train station.,
das Gehalt,noun,A2,das,Gehalt,Gehalte,wiktionary,0,0,,,,,0,Sie ist mit ihrem Gehalt zufrieden.,She is satisfied with her salary.,"das Gehalt, ¨-er	Sie ist mit ihrem Gehalt zufrieden.	She is satisfied with her salary.",verified
"gehen, geht, ist gegangen",other,A2,,"gehen, geht, ist gegangen",,,0,0,,,,,0,"Ich weiß nicht, wie das geht.",I don’t know how that works.,"gehen, geht, ist gegangen	Ich weiß nicht, wie das geht.	I don’t know how that works.",
"gehören, gehört, hat gehört",other,A2,,"gehören, gehört, hat gehört",,,0,0,,,,,0,Gehört der Stift dir?,Does the pen belong to you?,"gehören, gehört, hat gehört	Gehört der Stift dir?	Does the pen belong to you?",
die Geldbörse,noun,A2,die,Geldbörse,Geldbörsen,-n,0,0,,,,,0,Sie hat ihre Geldbörse verloren.,She lost her wallet.,"die Geldbörse, -n	Sie hat ihre Geldbörse verloren.	She lost her wallet.",verified
genau,other,A2,,genau,,,0,0,,,,,0,"Sind Sie sicher, dass die Prüfung am 15. Juni ist? - Ja, das weiß ich genau.","Are you sure the exam is on June 15th? - Yes, I know that exactly.","genau	Sind Sie sicher, dass die Prüfung am 15. Juni ist? - Ja, das weiß ich genau.	Are you sure the exam is on June 15th? - Yes, I know that exactly.",
genug,other,A2,,genug,,,0,0,,,,,0,Es ist noch genug Pizza da. Möchtest du noch ein Stück?,There’s still enough pizza. Do you want another piece?,genug	Es ist noch genug Pizza da. Möchtest du noch ein Stück?	There’s still enough pizza. Do you want another piece?,
geradeaus,other,A2,,geradeaus,,,0,0,,,,,0,Gehen Sie immer geradeaus!,Go straight ahead!,geradeaus	Gehen Sie immer geradeaus!	Go straight ahead!,
das Gerät,noun,A2,das,Gerät,Geräte,-e,0,0,,,,,0,Elektrogeräte finden Sie im dritten Stock.,Electronic devices can be found on the third floor.,"das Gerät, -e	Elektrogeräte finden Sie im dritten Stock.	Electronic devices can be found on the third floor.",verified
das Gericht,noun,A2,das,Gericht,Gerichte,-e,0,0,,,,,0,Mein Lieblingsgericht ist Pizza.,My favorite dish is pizza.,"das Gericht, -e	Mein Lieblingsgericht ist Pizza.	My favorite dish is pizza.",verified
"gern, lieber, am liebsten",other,A2,,"gern, lieber, am liebsten",,,0,0,,,,,0,Ich helfe Ihnen gern.,I’m happy to help you.,"gern, lieber, am liebsten	Ich helfe Ihnen gern.	I’m happy to help you.",
die Geschichte,noun,A2,die,Geschichte,Geschichten,-n,0,0,,,,,0,Erzählst du mir eine Geschichte?,Will you tell me a story?,"die Geschichte, -n	Erzählst du mir eine Geschichte?	Will you tell me a story?",verified
das Geschirr,noun,A2,das,Geschirr,,,1,0,,,,,0,Stellst du bitte das Geschirr in den Schrank?,Could you please put the dishes in the cupboard?,das Geschirr (Sg.)	Stellst du bitte das Geschirr in den Schrank?	Could you please put the dishes in the cupboard?,verified
das Gesicht,noun,A2,das,Gesicht,Gesichter,-er,0,0,,,,,0,Wasch dir bitte das Gesicht.,Please wash your face.,"das Gesicht, -er	Wasch dir bitte das Gesicht.	Please wash your face.",verified
gesund,other,A2,,gesund,,,0,0,,,,,0,Ich hatte Grippe. Jetzt bin ich wieder gesund.,I had the flu. Now I’m healthy again.,gesund	Ich hatte Grippe. Jetzt bin ich wieder gesund.	I had the flu. Now I’m healthy again.,
die Gesundheit,noun,A2,die,Gesundheit,,,1,0,,,,,0,Gesundheit! Sind Sie erkältet?,Bless you! Are you catching a cold?,die Gesundheit (Sg.)	Gesundheit! Sind Sie erkältet?	Bless you! Are you catching a cold?,verified
"gewinnen, gewinnt, hat gewonne",other,A2,,"gewinnen, gewinnt, hat gewonne",,,0,0,,,,,0,Unsere Mannschaft hat gewonnen.,Our team won.,"gewinnen, gewinnt, hat gewonne	Unsere Mannschaft hat gewonnen.	Our team won.",
das Gewitter,noun,A2,das,Gewitter,Gewitter,-,0,0,,,,,0,"Ich glaube, es gibt heute ein Gewitter.",I think there will be a thunderstorm today.,"das Gewitter, -	Ich glaube, es gibt heute ein Gewitter.	I think there will be a thunderstorm today.",verified
die Gitarre,noun,A2,die,Gitarre,Gitarren,-n,0,0,,,,,0,Er kann gut Gitarre spielen.,He can play the guitar well.,"die Gitarre, -n	Er kann gut Gitarre spielen.	He can play the guitar well.",verified
"glauben, glaubt, hat geglaubt",other,A2,,"glauben, glaubt, hat geglaubt",,,0,0,,,,,0,"Sie können mir glauben, es ist so.","You can believe me, it’s true.","glauben, glaubt, hat geglaubt	Sie können mir glauben, es ist so.	You can believe me, it’s true.",
"glauben, glaubt, hat geglaubt(",other,A2,,"glauben, glaubt, hat geglaubt(",,,0,0,,,,,0,"Ich glaube, er kommt gleich.",I think he’s coming soon.,"glauben, glaubt, hat geglaubt(	Ich glaube, er kommt gleich.	I think he’s coming soon.",
"gratulieren, gratuliert, hat g",other,A2,,"gratulieren, gratuliert, hat g",,,0,0,,,,,0,Ich gratuliere dir!,Congratulations!,"gratulieren, gratuliert, hat g	Ich gratuliere dir!	Congratulations!",
"grillen, grillt, hat gegrillt",other,A2,,"grillen, grillt, hat gegrillt",,,0,0,,,,,0,Heute grillen wir im Garten.,Today we’re grilling in the garden.,"grillen, grillt, hat gegrillt	Heute grillen wir im Garten.	Today we’re grilling in the garden.",
die Grippe,noun,A2,die,Grippe,,,1,0,,,,,0,Ich habe eine Grippe und kann leider nicht kommen.,I have the flu and unfortunately can’t come.,die Grippe (Sg.)	Ich habe eine Grippe und kann leider nicht kommen.	I have the flu and unfortunately can’t come.,verified
"gültig sein, ist gültig, war g",other,A2,,"gültig sein, ist gültig, war g",,,0,0,,,,,0,Der Pass ist nicht mehr gültig.,The passport is no longer valid.,"gültig sein, ist gültig, war g	Der Pass ist nicht mehr gültig.	The passport is no longer valid.",
"gut, besser, am besten",other,A2,,"gut, besser, am besten",,,0,0,,,,,0,Das finde ich gut.,I think that’s good.,"gut, besser, am besten	Das finde ich gut.	I think that’s good.",
"haben, hat, hatte, hat gehabt",other,A2,,"haben, hat, hatte, hat gehabt",,,0,0,,,,,0,Ich habe ein neues Auto.,I have a new car.,"haben, hat, hatte, hat gehabt	Ich habe ein neues Auto.	I have a new car.",
